node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,project,gene_symbol,timestamp
2048,191,13015,300,3425,True,67463,2.514772891998291,1,35,86,43,1,64,113,49,0,-29,-27,-6,Alzheimer's Disease,EPHB2,2025-11-28T22:57:47.587476
10241,487,14903,300,2754,True,47230,2.6721339225769043,1,0,0,0,1,154,50,11,0,-154,-50,-11,Alzheimer's Disease,CALCOCO2,2025-11-28T22:57:50.260192
2,186,12724,300,2291,True,22181,2.3954029083251953,1,70,133,15,1,121,126,11,0,-51,7,4,Alzheimer's Disease,A2M,2025-11-28T22:57:52.656061
79882,178,13449,300,7230,True,2093159,5.025675058364868,1,10,30,68,1,20,43,78,0,-10,-13,-10,Alzheimer's Disease,ZC3H14,2025-11-28T22:57:57.682301
12,115,8958,300,5082,True,763873,2.7526137828826904,1,81,65,13,1,69,44,13,0,12,21,0,Alzheimer's Disease,SERPINA3,2025-11-28T22:58:00.435750
2066,176,10492,300,3628,True,118694,2.235987901687622,1,50,78,42,1,65,83,35,0,-15,-5,7,Alzheimer's Disease,ERBB4,2025-11-28T22:58:02.672324
19,32,8453,300,3213,True,74099,1.9633779525756836,1,25,31,3,1,21,26,3,0,4,5,0,Alzheimer's Disease,ABCA1,2025-11-28T22:58:04.636198
25,219,14198,300,4914,True,232957,2.686457872390747,1,24,46,42,1,49,87,83,0,-25,-41,-41,Alzheimer's Disease,ABL1,2025-11-28T22:58:07.323155
27,103,12095,300,4400,True,164124,2.5767905712127686,1,28,81,98,1,32,91,95,0,-4,-10,3,Alzheimer's Disease,ABL2,2025-11-28T22:58:09.901308
10273,620,16733,300,6726,True,1118998,3.9773190021514893,1,0,0,0,1,20,74,92,0,-20,-74,-92,Alzheimer's Disease,STUB1,2025-11-28T22:58:13.879183
4129,37,8172,300,2194,True,6983,1.607309103012085,1,162,231,1,1,155,217,1,0,7,14,0,Alzheimer's Disease,MAOB,2025-11-28T22:58:15.487195
4133,77,12191,300,2860,True,62953,2.2646472454071045,1,40,82,59,1,42,86,44,0,-2,-4,15,Alzheimer's Disease,MAP2,2025-11-28T22:58:17.752319
10280,136,12495,300,3864,True,252698,2.579523801803589,1,38,40,10,1,131,114,11,0,-93,-74,-1,Alzheimer's Disease,SIGMAR1,2025-11-28T22:58:20.332405
4139,72,10163,300,4879,True,292791,2.371225118637085,1,35,129,94,1,37,114,92,0,-2,15,2,Alzheimer's Disease,MARK1,2025-11-28T22:58:22.704218
4140,240,13816,300,5615,True,530994,3.0698649883270264,1,18,51,113,1,40,99,197,0,-22,-48,-84,Alzheimer's Disease,MARK3,2025-11-28T22:58:25.774689
6195,198,13158,300,4469,True,281543,2.807874917984009,1,21,54,51,1,50,90,53,0,-29,-36,-2,Alzheimer's Disease,RPS6KA1,2025-11-28T22:58:28.583344
2099,2291,18047,300,5461,True,479002,3.2183501720428467,1,0,0,0,1,42,96,77,0,-42,-96,-77,Alzheimer's Disease,ESR1,2025-11-28T22:58:31.802309
6197,194,13729,300,5710,True,842687,3.535752773284912,1,17,45,70,1,48,72,81,0,-31,-27,-11,Alzheimer's Disease,RPS6KA3,2025-11-28T22:58:35.338786
6198,110,13087,300,5627,True,659639,3.2500557899475098,1,12,29,51,1,16,38,50,0,-4,-9,1,Alzheimer's Disease,RPS6KB1,2025-11-28T22:58:38.589527
10295,140,12879,300,3929,True,110482,2.4766781330108643,1,47,81,168,1,58,80,125,0,-11,1,43,Alzheimer's Disease,BCKDK,2025-11-28T22:58:41.067059
2100,2291,18007,300,3771,True,120232,2.888294219970703,1,0,0,0,1,61,82,22,0,-61,-82,-22,Alzheimer's Disease,ESR2,2025-11-28T22:58:43.955835
120892,482,14793,300,5152,True,388971,3.0746729373931885,1,0,0,0,1,48,68,35,0,-48,-68,-35,Alzheimer's Disease,LRRK2,2025-11-28T22:58:47.030999
90,58,7855,300,2884,True,26453,1.5406239032745361,1,145,166,36,1,166,152,36,0,-21,14,0,Alzheimer's Disease,ACVR1,2025-11-28T22:58:48.572139
2147,41,8190,300,3658,True,181948,1.829296350479126,1,24,33,23,1,28,25,23,0,-4,8,0,Alzheimer's Disease,F2,2025-11-28T22:58:50.401954
102,90,11946,300,4700,True,643258,2.9423532485961914,1,29,55,22,1,65,47,21,0,-36,8,1,Alzheimer's Disease,ADAM10,2025-11-28T22:58:53.344843
53353,70,10644,300,1809,True,26179,2.024603843688965,1,57,44,8,1,50,41,8,0,7,3,0,Alzheimer's Disease,LRP1B,2025-11-28T22:58:55.370007
8301,265,14357,300,5999,True,608149,3.200172185897827,1,9,26,43,1,66,122,99,0,-57,-96,-56,Alzheimer's Disease,PICALM,2025-11-28T22:58:58.570770
116,29,3745,300,4573,True,192301,0.9899618625640869,1,51,134,124,2,36,134,124,-1,15,0,0,Alzheimer's Disease,ADCYAP1,2025-11-28T22:58:59.561285
4214,151,12498,300,4863,True,239482,2.6728971004486084,1,43,104,187,1,47,93,152,0,-4,11,35,Alzheimer's Disease,MAP3K1,2025-11-28T22:59:02.234719
8312,147,12548,300,4614,True,127054,2.4416451454162598,1,50,134,97,1,95,155,86,0,-45,-21,11,Alzheimer's Disease,AXIN1,2025-11-28T22:59:04.676948
114815,3,2260,300,5680,True,529426,0.960230827331543,1,7,2,8,1,5,2,8,0,2,0,0,Alzheimer's Disease,SORCS1,2025-11-28T22:59:05.637781
4223,694,13780,300,1400,True,14746,2.578547954559326,1,0,0,0,2,283,3,0,-1,-283,-3,0,Alzheimer's Disease,MEOX2,2025-11-28T22:59:08.217244
8325,33,2642,300,2442,True,58835,0.44042229652404785,1,63,18,2,1,50,18,2,0,13,0,0,Alzheimer's Disease,FZD8,2025-11-28T22:59:08.658387
135,23,3250,300,4679,True,415303,1.1968047618865967,1,66,111,79,1,53,111,79,0,13,0,0,Alzheimer's Disease,ADORA2A,2025-11-28T22:59:09.855750
2185,77,10297,300,2984,True,71831,2.10528302192688,1,32,50,24,1,42,49,21,0,-10,1,3,Alzheimer's Disease,PTK2B,2025-11-28T22:59:11.961564
6285,171,9546,300,2135,True,196582,2.1262221336364746,1,125,91,0,1,173,53,0,0,-48,38,0,Alzheimer's Disease,S100B,2025-11-28T22:59:14.088301
729230,41,5742,300,1507,True,11597,1.0128741264343262,1,36,7,0,1,24,7,0,0,12,0,0,Alzheimer's Disease,CCR2,2025-11-28T22:59:15.101918
6288,47,3532,300,7111,True,2771899,4.99816107749939,1,40,10,9,1,19,9,9,0,21,1,0,Alzheimer's Disease,SAA1,2025-11-28T22:59:20.100690
4241,73,9609,300,2041,True,11033,1.9161529541015625,1,181,59,5,1,195,48,5,0,-14,11,0,Alzheimer's Disease,MFI2,2025-11-28T22:59:22.017364
154,324,13890,300,3475,True,150149,2.6156721115112305,1,0,0,0,1,76,91,37,0,-76,-91,-37,Alzheimer's Disease,ADRB2,2025-11-28T22:59:24.633642
156,86,11141,300,5743,True,1063155,3.4629650115966797,1,16,28,41,1,20,23,35,0,-4,5,6,Alzheimer's Disease,ADRBK1,2025-11-28T22:59:28.097194
6300,62,9681,300,5063,True,344173,2.3499488830566406,1,61,60,65,1,62,54,61,0,-1,6,4,Alzheimer's Disease,MAPK12,2025-11-28T22:59:30.447730
160,292,15377,300,6822,True,1018750,3.756152868270874,1,3,5,5,1,27,119,152,0,-24,-114,-147,Alzheimer's Disease,AP2A1,2025-11-28T22:59:34.204925
2213,15,2824,300,3606,True,80395,0.580855131149292,1,85,129,75,1,83,127,75,0,2,2,0,Alzheimer's Disease,FCGR2B,2025-11-28T22:59:34.786459
6310,469,14787,300,2154,True,24138,2.653377056121826,1,0,0,0,1,152,56,6,0,-152,-56,-6,Alzheimer's Disease,ATXN1,2025-11-28T22:59:37.440316
177,19,6288,300,1716,True,16113,1.1448566913604736,1,23,10,2,1,22,9,2,0,1,1,0,Alzheimer's Disease,AGER,2025-11-28T22:59:38.585711
183,27,9286,300,3041,True,51146,1.976140022277832,1,81,102,56,1,79,101,56,0,2,1,0,Alzheimer's Disease,AGT,2025-11-28T22:59:40.562351
6342,68,11021,300,5285,True,721116,3.0767159461975098,1,9,14,12,1,8,20,8,0,1,-6,4,Alzheimer's Disease,SCP2,2025-11-28T22:59:43.639635
2247,45,8169,300,6402,True,755900,2.705745220184326,1,18,35,28,1,18,25,28,0,0,10,0,Alzheimer's Disease,FGF2,2025-11-28T22:59:46.346046
203,63,10750,300,2297,True,37937,2.3589799404144287,1,27,80,45,1,26,72,24,0,1,8,21,Alzheimer's Disease,AK1,2025-11-28T22:59:48.705757
8398,23,8974,300,4752,True,210748,2.0497539043426514,1,36,59,60,1,32,59,60,0,4,0,0,Alzheimer's Disease,PLA2G6,2025-11-28T22:59:50.755961
207,578,16232,300,6038,True,751488,3.676815986633301,1,0,0,0,1,33,97,75,0,-33,-97,-75,Alzheimer's Disease,AKT1,2025-11-28T22:59:54.433354
57551,57,10785,300,6184,True,1457048,4.174330949783325,1,18,26,34,1,20,23,33,0,-2,3,1,Alzheimer's Disease,TAOK1,2025-11-28T22:59:58.608335
4311,136,11775,300,4576,True,399215,2.9203453063964844,1,13,34,37,1,26,22,24,0,-13,12,13,Alzheimer's Disease,MME,2025-11-28T23:00:01.530463
4313,57,6969,300,2496,True,21288,1.3971877098083496,1,126,116,23,1,118,111,23,0,8,5,0,Alzheimer's Disease,MMP2,2025-11-28T23:00:02.928167
4314,20,4800,300,5791,True,4082218,7.301310062408447,1,86,21,14,1,85,21,14,0,1,0,0,Alzheimer's Disease,MMP3,2025-11-28T23:00:10.230017
4318,38,4020,300,7319,True,3340938,6.388268709182739,1,42,12,2,1,34,12,2,0,8,0,0,Alzheimer's Disease,MMP9,2025-11-28T23:00:16.619852
2280,110,11664,300,3206,True,87079,2.3600521087646484,1,63,131,63,1,75,123,54,0,-12,8,9,Alzheimer's Disease,FKBP1A,2025-11-28T23:00:18.980481
6376,70,5034,300,2417,True,12016,0.899777889251709,1,346,128,9,1,327,118,9,0,19,10,0,Alzheimer's Disease,CX3CL1,2025-11-28T23:00:19.880798
2288,277,14881,300,6082,True,1043631,3.8313558101654053,1,9,7,14,1,42,79,68,0,-33,-72,-54,Alzheimer's Disease,FKBP4,2025-11-28T23:00:23.712782
2289,416,15041,300,4404,True,315721,3.0106959342956543,1,0,0,0,1,61,46,37,0,-61,-46,-37,Alzheimer's Disease,FKBP5,2025-11-28T23:00:26.724263
240,73,8279,300,3943,True,298489,1.9135301113128662,1,79,79,19,2,63,71,19,-1,16,8,0,Alzheimer's Disease,ALOX5,2025-11-28T23:00:28.640139
6387,30,3947,300,3891,True,340071,1.0616090297698975,1,17,10,0,1,15,10,0,0,2,0,0,Alzheimer's Disease,CXCL12,2025-11-28T23:00:29.703575
246,11,2234,300,4040,True,103430,0.5310049057006836,1,120,90,75,1,111,90,75,0,9,0,0,Alzheimer's Disease,ALOX15,2025-11-28T23:00:30.235270
51451,28,9035,300,5563,True,644311,2.8167779445648193,1,28,103,39,1,25,99,39,0,3,4,0,Alzheimer's Disease,LCMT1,2025-11-28T23:00:33.052661
8445,167,12237,300,3462,True,207417,2.6750710010528564,1,55,90,26,1,83,67,11,0,-28,23,15,Alzheimer's Disease,DYRK2,2025-11-28T23:00:35.728342
10494,101,10985,300,2322,True,37498,2.450784921646118,1,82,75,13,1,98,61,12,0,-16,14,1,Alzheimer's Disease,STK25,2025-11-28T23:00:38.179739
6416,63,11531,300,6152,True,1097716,3.796086072921753,1,31,88,110,1,34,86,97,0,-3,2,13,Alzheimer's Disease,MAP2K4,2025-11-28T23:00:41.976582
273,53,7241,300,6401,True,831687,2.70922589302063,1,24,55,51,1,27,52,50,0,-3,3,1,Alzheimer's Disease,AMPH,2025-11-28T23:00:44.686973
6418,285,15323,300,6492,True,1021640,4.117857933044434,1,3,3,10,1,44,67,148,0,-41,-64,-138,Alzheimer's Disease,SET,2025-11-28T23:00:48.805684
274,104,12374,300,2751,True,61413,2.6051528453826904,1,38,34,55,1,45,34,41,0,-7,0,14,Alzheimer's Disease,BIN1,2025-11-28T23:00:51.412907
10513,193,10417,300,1301,True,7439,2.15042781829834,1,93,23,0,1,86,8,0,0,7,15,0,Alzheimer's Disease,APPBP2,2025-11-28T23:00:53.563952
6423,24,3361,300,2608,True,40823,0.7551839351654053,1,91,33,16,1,82,31,16,0,9,2,0,Alzheimer's Disease,SFRP2,2025-11-28T23:00:54.319658
8473,954,17040,300,6136,True,1197874,4.473938941955566,1,0,0,0,1,39,64,66,0,-39,-64,-66,Alzheimer's Disease,OGT,2025-11-28T23:00:58.794463
6446,66,9956,300,4132,True,210121,2.465094804763794,1,50,108,42,1,59,97,41,0,-9,11,1,Alzheimer's Disease,SGK1,2025-11-28T23:01:01.260458
308,219,13799,300,6173,True,704698,3.528571128845215,1,9,44,120,1,27,82,152,0,-18,-38,-32,Alzheimer's Disease,ANXA5,2025-11-28T23:01:04.790597
2358,136,5412,300,1874,True,5530,1.0932998657226562,1,238,104,0,1,322,85,0,0,-84,19,0,Alzheimer's Disease,FPR2,2025-11-28T23:01:05.884707
55611,348,14422,300,5440,True,400804,3.5266289710998535,1,0,0,0,1,59,128,167,0,-59,-128,-167,Alzheimer's Disease,OTUB1,2025-11-28T23:01:09.411925
322,190,13191,300,5022,True,385300,3.229491949081421,1,21,36,37,1,44,57,52,0,-23,-21,-15,Alzheimer's Disease,APBB1,2025-11-28T23:01:12.643155
323,79,10998,300,2209,True,29838,2.2909088134765625,1,41,48,6,1,46,43,5,0,-5,5,1,Alzheimer's Disease,APBB2,2025-11-28T23:01:14.934714
325,26,5591,300,1680,True,15509,1.0453529357910156,1,26,19,1,1,19,19,1,0,7,0,0,Alzheimer's Disease,APCS,2025-11-28T23:01:15.980629
6477,214,11743,300,2981,True,44890,2.5152859687805176,1,42,117,12,1,148,78,7,0,-106,39,5,Alzheimer's Disease,SIAH1,2025-11-28T23:01:18.496481
335,180,11117,300,2317,True,26110,2.338937759399414,1,60,108,10,1,118,119,5,0,-58,-11,5,Alzheimer's Disease,APOA1,2025-11-28T23:01:20.836286
337,19,5632,300,3716,True,210797,1.33085298538208,1,19,14,9,1,13,13,9,0,6,1,0,Alzheimer's Disease,APOA4,2025-11-28T23:01:22.167770
344,39,4781,300,3187,True,148447,1.0684242248535156,1,48,10,0,1,35,8,0,0,13,2,0,Alzheimer's Disease,APOC2,2025-11-28T23:01:23.236871
8536,87,10685,300,5719,True,624227,3.1864161491394043,1,54,87,128,1,45,63,124,0,9,24,4,Alzheimer's Disease,CAMK1,2025-11-28T23:01:26.423983
348,162,12695,300,3883,True,720550,3.3680529594421387,1,33,37,16,1,60,45,16,0,-27,-8,0,Alzheimer's Disease,APOE,2025-11-28T23:01:29.793646
351,2367,18023,300,1500,True,15857,3.0711820125579834,1,0,0,0,1,126,7,0,0,-126,-7,0,Alzheimer's Disease,APP,2025-11-28T23:01:32.865498
355,352,13750,300,2057,True,18312,2.90830397605896,1,0,0,0,1,170,67,3,0,-170,-67,-3,Alzheimer's Disease,FAS,2025-11-28T23:01:35.774648
356,92,6608,300,1724,True,11476,1.5211668014526367,1,74,9,0,2,92,9,0,-1,-18,0,0,Alzheimer's Disease,FASLG,2025-11-28T23:01:37.296698
84335,29,8600,300,6391,True,863625,3.0812580585479736,1,6,30,42,1,5,29,42,0,1,1,0,Alzheimer's Disease,AKT1S1,2025-11-28T23:01:40.378645
372,237,15059,300,6995,True,1131008,4.470713138580322,1,14,58,88,1,32,124,137,0,-18,-66,-49,Alzheimer's Disease,ARCN1,2025-11-28T23:01:44.850497
10615,180,12111,300,3341,True,48386,2.4778428077697754,1,47,58,55,1,138,121,64,0,-91,-63,-9,Alzheimer's Disease,SPAG5,2025-11-28T23:01:47.329850
26999,165,13466,300,5450,True,538502,3.405690908432007,1,28,52,83,1,45,68,91,0,-17,-16,-8,Alzheimer's Disease,CYFIP2,2025-11-28T23:01:50.736294
55679,20,5604,300,1678,True,13855,0.9753158092498779,1,41,13,0,1,39,11,0,0,2,2,0,Alzheimer's Disease,LIMS2,2025-11-28T23:01:51.712723
55690,45,10811,300,4154,True,90815,2.5336430072784424,1,57,174,156,1,62,167,152,0,-5,7,4,Alzheimer's Disease,PACS1,2025-11-28T23:01:54.247525
4504,8,2681,300,6490,True,1339262,2.3768551349639893,1,1,3,5,1,0,3,5,0,1,0,0,Alzheimer's Disease,MT3,2025-11-28T23:01:56.625052
22943,23,6794,300,4773,True,178780,1.8580448627471924,1,16,7,7,1,10,7,7,0,6,0,0,Alzheimer's Disease,DKK1,2025-11-28T23:01:58.484469
2475,327,15145,300,5073,True,477027,3.3077290058135986,1,0,0,0,1,119,105,81,0,-119,-105,-81,Alzheimer's Disease,MTOR,2025-11-28T23:03:09.005203
29108,81,7854,300,2986,True,45985,1.8137478828430176,1,125,103,24,1,133,100,24,0,-8,3,0,Alzheimer's Disease,PYCARD,2025-11-28T23:03:10.819754
2487,12,4252,300,7656,True,2018167,3.550082206726074,1,15,12,18,1,7,12,18,0,8,0,0,Alzheimer's Disease,FRZB,2025-11-28T23:03:14.370719
158135,7,4763,300,7106,True,3049585,5.225369691848755,1,15,59,66,1,13,59,66,0,2,0,0,Alzheimer's Disease,TTLL11,2025-11-28T23:03:19.597004
55737,263,14497,300,5150,True,356694,2.998757839202881,1,10,37,70,1,69,151,120,0,-59,-114,-50,Alzheimer's Disease,VPS35,2025-11-28T23:03:22.596458
57787,72,10499,300,4912,True,337974,2.6446049213409424,1,29,54,58,1,35,41,45,0,-6,13,13,Alzheimer's Disease,MARK4,2025-11-28T23:03:25.241784
8650,218,14281,300,5798,True,561138,3.252368927001953,1,22,88,98,1,37,150,140,0,-15,-62,-42,Alzheimer's Disease,NUMB,2025-11-28T23:03:28.494810
51667,53,11504,300,5587,True,390670,2.826007127761841,1,9,58,75,1,9,58,74,0,0,0,1,Alzheimer's Disease,NUB1,2025-11-28T23:03:31.321611
468,93,10037,300,2152,True,22835,2.2096147537231445,1,67,77,16,1,78,66,14,0,-11,11,2,Alzheimer's Disease,ATF4,2025-11-28T23:03:33.531998
27102,27,6532,300,4330,True,611385,2.1378629207611084,1,84,65,16,1,80,61,16,0,4,4,0,Alzheimer's Disease,EIF2AK1,2025-11-28T23:03:35.670568
6622,989,16834,300,4383,True,291875,3.063426971435547,1,0,0,0,1,54,79,69,0,-54,-79,-69,Alzheimer's Disease,SNCA,2025-11-28T23:03:38.734665
84447,327,14002,300,3768,True,186775,2.90346097946167,1,0,0,0,1,109,81,34,0,-109,-81,-34,Alzheimer's Disease,SYVN1,2025-11-28T23:03:41.638857
84446,35,6941,300,5685,True,432008,2.0990262031555176,1,25,57,121,1,23,47,121,0,2,10,0,Alzheimer's Disease,BRSK1,2025-11-28T23:03:43.738565
2534,370,14099,300,3868,True,158661,2.995603084564209,1,0,0,0,1,120,109,67,0,-120,-109,-67,Alzheimer's Disease,FYN,2025-11-28T23:03:46.734957
8678,198,13475,300,4685,True,213484,2.859513998031616,1,28,80,118,1,61,121,126,0,-33,-41,-8,Alzheimer's Disease,BECN1,2025-11-28T23:03:49.595190
10728,434,14913,300,4429,True,268644,3.1318461894989014,1,0,0,0,1,85,100,54,0,-85,-100,-54,Alzheimer's Disease,PTGES3,2025-11-28T23:03:52.727713
2550,42,5799,300,3217,True,154737,1.2612640857696533,1,33,12,15,1,37,12,15,0,-4,0,0,Alzheimer's Disease,GABBR1,2025-11-28T23:03:53.989867
6647,420,14691,300,5108,True,322811,3.1621758937835693,1,0,0,0,1,55,151,168,0,-55,-151,-168,Alzheimer's Disease,SOD1,2025-11-28T23:03:57.152724
6653,133,11896,300,1853,True,24300,2.3910200595855713,1,104,68,7,1,101,56,7,0,3,12,0,Alzheimer's Disease,SORL1,2025-11-28T23:03:59.544454
4609,2982,18719,300,5312,True,309476,3.2696969509124756,1,0,0,0,1,34,105,69,0,-34,-105,-69,Alzheimer's Disease,MYC,2025-11-28T23:04:02.814831
4613,1370,17061,300,5877,True,726154,3.652677297592163,1,0,0,0,1,53,132,115,0,-53,-132,-115,Alzheimer's Disease,MYCN,2025-11-28T23:04:06.468200
6667,339,14742,300,5764,True,624553,3.414257049560547,1,0,0,0,1,42,78,53,0,-42,-78,-53,Alzheimer's Disease,SP1,2025-11-28T23:04:09.883001
23057,23,6677,300,2040,True,20099,1.2734661102294922,1,98,41,1,1,91,40,1,0,7,1,0,Alzheimer's Disease,NMNAT2,2025-11-28T23:04:11.157013
55829,60,8273,300,3865,True,159422,1.890028953552246,1,41,64,24,1,43,58,20,0,-2,6,4,Alzheimer's Disease,VIMP,2025-11-28T23:04:13.047630
8728,34,3971,300,3989,True,194578,0.8954050540924072,1,39,14,4,1,22,14,4,0,17,0,0,Alzheimer's Disease,ADAM19,2025-11-28T23:04:13.943603
51738,17,3279,300,4571,True,841836,1.5363130569458008,1,99,49,18,1,90,49,18,0,9,0,0,Alzheimer's Disease,GHRL,2025-11-28T23:04:15.480568
6683,82,11738,300,4840,True,362237,2.799345016479492,1,20,71,150,1,21,58,117,0,-1,13,33,Alzheimer's Disease,SPAST,2025-11-28T23:04:18.280663
51741,619,15618,300,4215,True,350813,3.1906261444091797,1,0,0,0,1,71,60,21,0,-71,-60,-21,Alzheimer's Disease,WWOX,2025-11-28T23:04:21.471902
10787,197,14066,300,5916,True,731559,3.3501079082489014,1,24,60,60,1,37,91,82,0,-13,-31,-22,Alzheimer's Disease,NCKAP1,2025-11-28T23:04:24.822587
55851,79,7272,300,6281,True,655172,2.343928098678589,1,120,145,136,1,113,128,136,0,7,17,0,Alzheimer's Disease,PSENEN,2025-11-28T23:04:27.167910
8754,115,11172,300,2696,True,32038,2.263075113296509,1,75,64,21,1,120,58,17,0,-45,6,4,Alzheimer's Disease,ADAM9,2025-11-28T23:04:29.431520
23093,48,8513,300,1852,True,9057,1.7756450176239014,1,145,122,2,1,137,115,2,0,8,7,0,Alzheimer's Disease,TTLL5,2025-11-28T23:04:31.207670
10808,442,15843,300,9106,True,3887427,8.36412000656128,1,0,0,0,1,7,39,71,0,-7,-39,-71,Alzheimer's Disease,HSPH1,2025-11-28T23:04:39.572423
6714,533,15948,300,4020,True,135408,2.9314117431640625,1,0,0,0,1,84,136,97,0,-84,-136,-97,Alzheimer's Disease,SRC,2025-11-28T23:04:42.504389
573,473,15222,300,5678,True,857076,3.497549057006836,1,0,0,0,1,38,73,88,0,-38,-73,-88,Alzheimer's Disease,BAG1,2025-11-28T23:04:46.002593
4671,10,3003,300,1926,True,12287,0.43254685401916504,1,19,14,6,1,13,14,6,0,6,0,0,Alzheimer's Disease,NAIP,2025-11-28T23:04:46.435700
6721,131,12039,300,3372,True,97993,2.4268221855163574,1,34,29,26,1,89,26,17,0,-55,3,9,Alzheimer's Disease,SREBF2,2025-11-28T23:04:48.863097
6733,716,16017,300,4676,True,729834,3.542382001876831,1,0,0,0,1,51,53,41,0,-51,-53,-41,Alzheimer's Disease,SRPK2,2025-11-28T23:04:52.406630
590,62,7553,300,3687,True,287276,1.9355738162994385,1,127,50,19,1,126,49,19,0,1,1,0,Alzheimer's Disease,BCHE,2025-11-28T23:04:54.343983
150094,60,10693,300,3758,True,97976,2.276432991027832,1,49,94,72,1,47,84,72,0,2,10,0,Alzheimer's Disease,SIK1,2025-11-28T23:04:56.620977
2641,25,2950,300,4787,True,661590,1.2837550640106201,1,63,68,33,1,53,68,33,0,10,0,0,Alzheimer's Disease,GCG,2025-11-28T23:04:57.905449
598,189,13098,300,3641,True,80599,2.6408369541168213,1,61,144,120,1,100,169,87,0,-39,-25,33,Alzheimer's Disease,BCL2L1,2025-11-28T23:05:00.572097
2648,174,11347,300,5726,True,394929,2.7879600524902344,1,36,119,119,1,42,116,104,0,-6,3,15,Alzheimer's Disease,KAT2A,2025-11-28T23:05:03.360964
219736,14,3353,300,7934,True,3837086,6.620750188827515,1,13,8,1,1,4,8,1,0,9,0,0,Alzheimer's Disease,STOX1,2025-11-28T23:05:09.982399
84570,9,6010,300,1719,True,15706,1.0449230670928955,1,4,3,0,1,2,3,0,0,2,0,0,Alzheimer's Disease,COL25A1,2025-11-28T23:05:11.027875
6750,2,36,36,78,False,176,0.0025131702423095703,1,5,0,0,1,4,0,0,0,1,0,0,Alzheimer's Disease,SST,2025-11-28T23:05:11.031070
10858,4,1090,300,5801,True,3824827,5.947885036468506,1,4,0,0,1,2,0,0,0,2,0,0,Alzheimer's Disease,CYP46A1,2025-11-28T23:05:16.979308
623,31,2969,300,4955,True,369665,1.0230917930603027,1,96,62,60,1,83,61,60,0,13,1,0,Alzheimer's Disease,BDKRB1,2025-11-28T23:05:18.003066
627,42,8051,300,2843,True,62485,1.5788989067077637,1,274,85,13,1,265,83,13,0,9,2,0,Alzheimer's Disease,BDNF,2025-11-28T23:05:19.582580
642,130,13626,300,5805,True,451570,3.00313401222229,1,29,87,108,1,39,95,116,0,-10,-8,-8,Alzheimer's Disease,BLMH,2025-11-28T23:05:22.586354
146057,20,6743,300,4555,True,200382,1.609374761581421,1,17,25,57,1,14,23,57,0,3,2,0,Alzheimer's Disease,TTBK2,2025-11-28T23:05:24.196435
6794,264,13495,300,2993,True,124028,2.6600279808044434,1,20,58,15,1,123,47,5,0,-103,11,10,Alzheimer's Disease,STK11,2025-11-28T23:05:26.857836
197259,54,7965,300,4278,True,151872,1.888056755065918,1,42,104,81,1,34,90,81,0,8,14,0,Alzheimer's Disease,MLKL,2025-11-28T23:05:28.746458
8851,54,9761,300,5326,True,448120,2.505871295928955,1,43,43,21,1,40,33,20,0,3,10,1,Alzheimer's Disease,CDK5R1,2025-11-28T23:05:31.252966
84630,24,6022,300,5453,True,330710,1.7405750751495361,1,41,102,170,1,37,98,170,0,4,4,0,Alzheimer's Disease,TTBK1,2025-11-28T23:05:32.994221
6812,135,12609,300,4243,True,326099,2.8350441455841064,1,21,55,61,1,41,55,51,0,-20,0,10,Alzheimer's Disease,STXBP1,2025-11-28T23:05:35.829936
